TransactionID,Date,ProductID,BranchID,Quantity,Discount,PaymentMethod
1,2026-05-18,P003,B04,8,4,Debit Card
2,2026-02-07,P014,B02,4,1,QRIS
3,2026-04-15,P007,B04,3,8,Debit Card
4,2026-05-15,P015,B04,5,6,Debit Card
5,2026-02-11,P018,B03,6,2,E-Wallet
6,2026-05-05,P024,B01,5,15,Credit Card
7,2026-01-18,P018,B03,5,4,Credit Card
8,2026-06-15,P006,B03,6,18,Credit Card
9,2026-03-22,P002,B04,2,19,Cash
10,2026-03-31,P001,B01,8,17,Debit Card
11,2026-01-08,P024,B03,3,7,QRIS
12,2026-06-28,P018,B02,3,11,E-Wallet
13,2026-02-17,P017,B04,10,14,Debit Card
14,2026-02-18,P008,B02,7,8,Credit Card
15,2026-06-18,P022,B02,9,18,Cash
16,2026-05-17,P004,B02,7,10,E-Wallet
17,2026-03-10,P022,B05,6,6,Debit Card
18,2026-01-08,P015,B01,4,3,E-Wallet
19,2026-01-08,P008,B03,5,18,Cash
20,2026-05-01,P008,B04,5,2,Debit Card
21,2026-04-05,P016,B05,5,5,E-Wallet
22,2026-06-14,P001,B04,4,11,QRIS
23,2026-01-24,P004,B03,2,10,QRIS
24,2026-05-28,P015,B04,1,6,E-Wallet
25,2026-02-07,P002,B03,2,11,Credit Card
26,2026-02-13,P018,B01,3,9,E-Wallet
27,2026-05-29,P007,B01,9,17,Credit Card
28,2026-02-21,P004,B01,6,9,Cash
29,2026-01-13,P006,B03,9,10,E-Wallet
30,2026-03-26,P007,B01,2,14,Debit Card
31,2026-06-22,P004,B04,10,18,E-Wallet
32,2026-02-16,P023,B04,1,19,E-Wallet
33,2026-06-06,P014,B01,5,12,E-Wallet
34,2026-02-25,P003,B03,9,20,Cash
35,2026-06-14,P006,B04,5,1,Credit Card
36,2026-05-04,P012,B05,6,1,Cash
37,2026-02-26,P020,B03,4,1,QRIS
38,2026-01-31,P008,B04,4,2,E-Wallet
39,2026-05-02,P007,B02,9,12,Credit Card
40,2026-06-14,P020,B05,7,12,QRIS
41,2026-01-06,P014,B01,4,14,QRIS
42,2026-05-11,P007,B04,2,3,Cash
43,2026-04-26,P013,B03,6,6,Cash
44,2026-02-13,P008,B02,5,15,E-Wallet
45,2026-03-27,P014,B03,3,11,Debit Card
46,2026-03-07,P004,B03,1,13,Credit Card
47,2026-01-19,P008,B02,5,4,Debit Card
48,2026-05-07,P006,B03,4,8,Credit Card
49,2026-01-01,P024,B02,9,18,QRIS
50,2026-05-10,P018,B02,4,9,QRIS
51,2026-03-25,P024,B03,9,6,Debit Card
52,2026-04-09,P014,B02,10,15,Debit Card
53,2026-05-28,P019,B04,6,0,QRIS
54,2026-03-22,P009,B01,10,12,Debit Card
55,2026-03-06,P014,B03,4,5,Debit Card
